"fiscal_year","inflation_adjustment"
"1959",13.937
"1960",13.363
"1961",12.948
"1962",12.45
"1963",12.029
"1964",11.511
"1965",11.133
"1966",10.503
"1967",10.012
"1968",9.499
"1969",8.987
"1970",8.407
"1971",7.909
"1972",7.482
"1973",7.079
"1974",6.603
"1975",5.96
"1976",5.467
"1976TQ",5.355
"1977",4.935
"1978",4.578
"1979",4.181
"1980",3.777
"1981",3.431
"1982",3.182
"1983",2.991
"1984",2.838
"1985",2.744
"1986",2.664
"1987",2.559
"1988",2.431
"1989",2.319
"1990",2.219
"1991",2.142
"1992",2.036
"1993",1.954
"1994",1.896
"1995",1.848
"1996",1.802
"1997",1.778
"1998",1.734
"1999",1.693
"2000",1.627
"2001",1.57
"2002",1.527
"2003",1.495
"2004",1.445
"2005",1.402
"2006",1.359
"2007",1.309
"2008",1.264
"2009",1.24
"2010",1.223
"2011",1.204
"2012",1.191
"2013",1.174
"2014",1.151
"2015",1.128
"2016",1.113
"2017",1.092
"2018",1.067
"2019",1.045
"2020",1.023
"2021",1
"2022",1
"2023",1
"2024",1
"2025",1
"2026",1
"2027",1
"2028",1
"2029",1
"2030",1
"2031",1
"2032",1
"2033",1
"2034",1
"2035",1
