"mission","fiscal_year","cost_type","cost_group","cost_MUSD"
"Cassini","1990","Spacecraft","Development/Implementation",29.5
"Cassini","1991","Launch Support","Launch Vehicle(s) & Support",2.4
"Cassini","1991","Spacecraft","Development/Implementation",143
"Cassini","1992","Launch Support","Launch Vehicle(s) & Support",20.1
"Cassini","1992","Spacecraft","Development/Implementation",210.7
"Cassini","1993","Launch Support","Launch Vehicle(s) & Support",16.2
"Cassini","1993","Spacecraft","Development/Implementation",204.953
"Cassini","1994","Data Analysis","Operations & Data Analysis",0.6
"Cassini","1994","Launch Support","Launch Vehicle(s) & Support",86.4
"Cassini","1994","Spacecraft","Development/Implementation",266.6
"Cassini","1995","Data Analysis","Operations & Data Analysis",3.2
"Cassini","1995","Launch Support","Launch Vehicle(s) & Support",81
"Cassini","1995","Spacecraft","Development/Implementation",255
"Cassini","1996","Data Analysis","Operations & Data Analysis",1.8
"Cassini","1996","Launch Support","Launch Vehicle(s) & Support",88.2
"Cassini","1996","Spacecraft","Development/Implementation",191.5
"Cassini","1997","Data Analysis","Operations & Data Analysis",3
"Cassini","1997","Launch Support","Launch Vehicle(s) & Support",92.7
"Cassini","1997","Operations","Operations & Data Analysis",15
"Cassini","1997","Spacecraft","Development/Implementation",74.6
"Cassini","1998","Data Analysis","Operations & Data Analysis",4.7
"Cassini","1998","Launch Support","Launch Vehicle(s) & Support",17.1
"Cassini","1998","Operations","Operations & Data Analysis",38.1
"Cassini","1999","Data Analysis","Operations & Data Analysis",8.8
"Cassini","1999","Operations","Operations & Data Analysis",55.8
"Cassini","2000","Data Analysis","Operations & Data Analysis",6.2
"Cassini","2000","Operations","Operations & Data Analysis",55
"Cassini","2001","Data Analysis","Operations & Data Analysis",4.5
"Cassini","2001","Operations","Operations & Data Analysis",53.6
"Cassini","2002","Data Analysis","Operations & Data Analysis",5
"Cassini","2002","Operations","Operations & Data Analysis",60.8
"Cassini","2003","Data Analysis","Operations & Data Analysis",5
"Cassini","2003","Operations","Operations & Data Analysis",70.7
"Cassini","2004","Operations","Operations & Data Analysis",81.21428571
"Cassini","2005","Operations","Operations & Data Analysis",81
"Cassini","2006","Operations","Operations & Data Analysis",81.25
"Cassini","2007","Operations","Operations & Data Analysis",81.25
"Cassini","2008","Operations","Operations & Data Analysis",81.25
"Cassini","2009","Operations","Operations & Data Analysis",81.25
"Cassini","2010","Operations","Operations & Data Analysis",81.25
"Cassini","2011","Operations","Operations & Data Analysis",65.8
"Cassini","2012","Operations","Operations & Data Analysis",60.3
"Cassini","2013","Operations","Operations & Data Analysis",57.9
"Cassini","2014","Operations","Operations & Data Analysis",51.6
"Cassini","2015","Operations","Operations & Data Analysis",68.1
"Cassini","2016","Operations","Operations & Data Analysis",58.8
"Cassini","2017","Operations","Operations & Data Analysis",54.1
"Cassini","2018","Operations","Operations & Data Analysis",19.2
"Cassini","2019","Operations","Operations & Data Analysis",3.9
"CONTOUR","1998","Formulation","Formulation",0.4
"CONTOUR","1999","Formulation","Formulation",8.8
"CONTOUR","2000","Development","Development/Implementation",35.2
"CONTOUR","2000","Launch Support","Launch Vehicle(s) & Support",16.9
"CONTOUR","2001","Development","Development/Implementation",41.6
"CONTOUR","2001","Launch Support","Launch Vehicle(s) & Support",20.6
"CONTOUR","2002","Development","Development/Implementation",10.8
"CONTOUR","2002","Launch Support","Launch Vehicle(s) & Support",8.9
"DART","2016","Formulation","Formulation",6.4
"DART","2017","Formulation","Formulation",16.1
"DART","2018","Formulation","Formulation",18.1
"DART","2018","Implementation (incl LV)","Development/Implementation (incl LV)",22.9
"DART","2019","Implementation (incl LV)","Development/Implementation (incl LV)",98
"DART","2020","Implementation (incl LV)","Development/Implementation (incl LV)",72.4
"DART","2021","Implementation (incl LV)","Development/Implementation (incl LV)",74.1
"DART","2021","Operations","Operations & Data Analysis",1.4
"DART","2022","Operations","Operations & Data Analysis",11.1
"DART","2023","Operations","Operations & Data Analysis",4.5
"DAVINCI","2021","Formulation","Formulation",3.5
"DAVINCI","2022","Formulation","Formulation",13.5
"DAVINCI","2023","Formulation","Formulation",22.8
"DAVINCI","2024","Formulation","Formulation",56.7
"DAVINCI","2025","Formulation","Formulation",163.3
"DAVINCI","2026","Implementation (incl LV)","Development/Implementation (incl LV)",105.5
"DAVINCI","2027","Implementation (incl LV)","Development/Implementation (incl LV)",177.5
"Dawn","2002","Development (incl LV)","Development/Implementation (incl LV)",1
"Dawn","2003","Development (incl LV)","Development/Implementation (incl LV)",36.3
"Dawn","2004","Development (incl LV)","Development/Implementation (incl LV)",126.5
"Dawn","2005","Development (incl LV)","Development/Implementation (incl LV)",85.9
"Dawn","2006","Development (incl LV)","Development/Implementation (incl LV)",59.6
"Dawn","2007","Development (incl LV)","Development/Implementation (incl LV)",63.7
"Dawn","2008","Operations","Operations & Data Analysis",7.8
"Dawn","2009","Operations","Operations & Data Analysis",7.6
"Dawn","2010","Operations","Operations & Data Analysis",8.1
"Dawn","2011","Operations","Operations & Data Analysis",14.8
"Dawn","2012","Operations","Operations & Data Analysis",14.3
"Dawn","2013","Operations","Operations & Data Analysis",23.3
"Dawn","2014","Operations","Operations & Data Analysis",1.5
"Dawn","2015","Operations","Operations & Data Analysis",17.2
"Dawn","2016","Operations","Operations & Data Analysis",22.2
"Dawn","2017","Operations","Operations & Data Analysis",1
"Dawn","2018","Operations","Operations & Data Analysis",11.1
"Dawn","2019","Operations","Operations & Data Analysis",0.2
"Deep Impact","1999","Formulation","Formulation",1.5
"Deep Impact","2000","Formulation","Formulation",22.7
"Deep Impact","2000","Launch Services","Launch Vehicle(s) & Support",0.1
"Deep Impact","2001","Development","Development/Implementation",49.9
"Deep Impact","2001","Formulation","Formulation",15.5
"Deep Impact","2001","Launch Services","Launch Vehicle(s) & Support",7.3
"Deep Impact","2002","Development","Development/Implementation",90.9
"Deep Impact","2002","Launch Services","Launch Vehicle(s) & Support",22.5
"Deep Impact","2003","Development","Development/Implementation",57.7
"Deep Impact","2003","Launch Services","Launch Vehicle(s) & Support",22.8
"Deep Impact","2004","Development","Development/Implementation",12.9
"Deep Impact","2004","Launch Services","Launch Vehicle(s) & Support",4.9
"Deep Impact","2005","Development","Development/Implementation",24.6
"Deep Impact","2005","Operations","Operations & Data Analysis",7.3
"Deep Impact","2006","Operations","Operations & Data Analysis",7.7
"Deep Impact","2007","Operations","Operations & Data Analysis",9.175
"Deep Impact","2008","Operations","Operations & Data Analysis",9.175
"Deep Impact","2009","Operations","Operations & Data Analysis",9.175
"Deep Impact","2010","Operations","Operations & Data Analysis",9.175
"Deep Impact","2011","Operations","Operations & Data Analysis",5.3
"Deep Impact","2012","Operations","Operations & Data Analysis",4
"Deep Impact","2013","Operations","Operations & Data Analysis",3
"Deep Space 1","1996","Development","Development/Implementation",33.5
"Deep Space 1","1996","Launch Services","Launch Vehicle(s) & Support",7.7
"Deep Space 1","1997","Development","Development/Implementation",35.1
"Deep Space 1","1997","Launch Services","Launch Vehicle(s) & Support",5
"Deep Space 1","1998","Development","Development/Implementation",31.1
"Deep Space 1","1998","Launch Services","Launch Vehicle(s) & Support",32.8
"Deep Space 1","1999","Operations","Operations & Data Analysis",13.8
"Deep Space 1","2000","Operations","Operations & Data Analysis",4.9
"Deep Space 1","2001","Operations","Operations & Data Analysis",5.8
"Deep Space 1","2002","Operations","Operations & Data Analysis",0.6
"EscaPADE","2021","Spacecraft","Development/Implementation",29.1
"EscaPADE","2022","Spacecraft","Development/Implementation",19.6
"EscaPADE","2023","Spacecraft","Development/Implementation",11.2
"EscaPADE","2024","Spacecraft","Development/Implementation",3.6
"EscaPADE","2025","Spacecraft","Development/Implementation",3
"EscaPADE","2026","Spacecraft","Development/Implementation",2.4
"EscaPADE","2027","Spacecraft","Development/Implementation",0
"Europa Clipper","2013","Formulation","Formulation",69.7
"Europa Clipper","2014","Formulation","Formulation",80
"Europa Clipper","2015","Formulation","Formulation",100
"Europa Clipper","2016","Formulation","Formulation",146.3
"Europa Clipper","2017","Formulation","Formulation",237.4
"Europa Clipper","2018","Formulation","Formulation",525
"Europa Clipper","2019","Formulation","Formulation",195.7
"Europa Clipper","2019","Implementation (incl LV)","Development/Implementation (incl LV)",349.3
"Europa Clipper","2020","Implementation (incl LV)","Development/Implementation (incl LV)",592.6
"Europa Clipper","2021","Implementation (incl LV)","Development/Implementation (incl LV)",434.8
"Europa Clipper","2022","Implementation (incl LV)","Development/Implementation (incl LV)",472.1
"Europa Clipper","2023","Implementation (incl LV)","Development/Implementation (incl LV)",345
"Europa Clipper","2024","Implementation (incl LV)","Development/Implementation (incl LV)",303.3
"Europa Clipper","2025","Implementation (incl LV)","Development/Implementation (incl LV)",11.9
"Europa Clipper","2025","Operations","Operations & Data Analysis",89.3
"Europa Clipper","2026","Operations","Operations & Data Analysis",80.6
"Europa Clipper","2027","Operations","Operations & Data Analysis",77.7
"Europa Clipper","2028","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2029","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2030","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2031","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2032","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2033","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2034","Operations","Operations & Data Analysis",128.05
"Europa Clipper","2035","Operations","Operations & Data Analysis",128.05
"Galileo","1978","Experiments","Science & Experiments",7.59
"Galileo","1978","Ground Operations","Project Management/Ground Operations",1.7
"Galileo","1978","Operations","Operations & Data Analysis",0.9
"Galileo","1978","Spacecraft","Development/Implementation",11.66
"Galileo","1979","Experiments","Science & Experiments",18.714
"Galileo","1979","Ground Operations","Project Management/Ground Operations",5.903
"Galileo","1979","Operations","Operations & Data Analysis",2.4
"Galileo","1979","Spacecraft","Development/Implementation",54.083
"Galileo","1980","Experiments","Science & Experiments",19.39
"Galileo","1980","Ground Operations","Project Management/Ground Operations",7.488
"Galileo","1980","Operations","Operations & Data Analysis",8.3
"Galileo","1980","Spacecraft","Development/Implementation",89.222
"Galileo","1981","Experiments","Science & Experiments",8.8
"Galileo","1981","Ground Operations","Project Management/Ground Operations",6.6
"Galileo","1981","Operations","Operations & Data Analysis",2.4
"Galileo","1981","Spacecraft","Development/Implementation",47.7
"Galileo","1982","Experiments","Science & Experiments",13.5
"Galileo","1982","Ground Operations","Project Management/Ground Operations",11.7
"Galileo","1982","Operations","Operations & Data Analysis",8.2
"Galileo","1982","Spacecraft","Development/Implementation",90.5
"Galileo","1983","Experiments","Science & Experiments",8.612
"Galileo","1983","Ground Operations","Project Management/Ground Operations",15.464
"Galileo","1983","Operations","Operations & Data Analysis",12.6
"Galileo","1983","Spacecraft","Development/Implementation",67.524
"Galileo","1984","Experiments","Science & Experiments",9.375
"Galileo","1984","Ground Operations","Project Management/Ground Operations",19.547
"Galileo","1984","Operations","Operations & Data Analysis",37.2
"Galileo","1984","Spacecraft","Development/Implementation",50.578
"Galileo","1985","Experiments","Science & Experiments",10.275
"Galileo","1985","Ground Operations","Project Management/Ground Operations",20.78
"Galileo","1985","Operations","Operations & Data Analysis",36.6
"Galileo","1985","Spacecraft","Development/Implementation",27.745
"Galileo","1986","Experiments","Science & Experiments",14.215
"Galileo","1986","Ground Operations","Project Management/Ground Operations",15.81
"Galileo","1986","Operations","Operations & Data Analysis",10.9
"Galileo","1986","Spacecraft","Development/Implementation",34.175
"Galileo","1987","Experiments","Science & Experiments",11.383
"Galileo","1987","Ground Operations","Project Management/Ground Operations",14.102
"Galileo","1987","Operations","Operations & Data Analysis",11.8
"Galileo","1987","Spacecraft","Development/Implementation",45.715
"Galileo","1988","Experiments","Science & Experiments",9.078
"Galileo","1988","Ground Operations","Project Management/Ground Operations",11.445
"Galileo","1988","Operations","Operations & Data Analysis",31.2
"Galileo","1988","Spacecraft","Development/Implementation",31.377
"Galileo","1989","Experiments","Science & Experiments",13.67
"Galileo","1989","Ground Operations","Project Management/Ground Operations",24.85
"Galileo","1989","Operations","Operations & Data Analysis",85.5
"Galileo","1989","Spacecraft","Development/Implementation",34.88
"Galileo","1989","Upper Stage","Launch Vehicle(s) & Support",18.2
"Galileo","1990","Operations","Operations & Data Analysis",37.315
"Galileo","1991","Operations","Operations & Data Analysis",48.074
